Season,Name,Tm,IP,TBF,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
2002,John Burkett,BOS,173.0,760,1.1759,0.2404,0.4105,0.3491,0.1106,0.1256,0.0726,0.2500,0.4273,0.2993,0.2734,0.1404,0.6603,0.1993,179
2002,Frank Castillo,BOS,163.1,711,1.1443,0.2121,0.4205,0.3674,0.1546,0.0979,0.0676,0.5000,0.4644,0.2865,0.2491,0.1461,0.6217,0.2322,180
2002,Casey Fossum,BOS,106.2,461,1.1197,0.2298,0.4068,0.3634,0.1026,0.1026,0.0687,0.2500,0.4325,0.2883,0.2791,0.1166,0.6288,0.2546,188
2002,Derek Lowe,BOS,219.2,854,3.4762,0.1376,0.6697,0.1927,0.0873,0.0952,0.0685,0.2308,0.4828,0.2669,0.2504,0.1334,0.7121,0.1544,199
2002,Pedro Martinez,BOS,199.1,787,1.1648,0.2160,0.4218,0.3621,0.1193,0.0739,0.0683,0.5714,0.4422,0.2840,0.2738,0.1379,0.6755,0.1866,200
2002,Ugueth Urbina,BOS,60.0,242,0.5128,0.2081,0.2685,0.5235,0.2051,0.1026,0.0500,0.0000,0.3841,0.2715,0.3444,0.1722,0.5762,0.2517,216
2002,Tim Wakefield,BOS,163.1,657,0.9330,0.1848,0.3935,0.4217,0.1289,0.0773,0.0884,0.0000,0.5140,0.2527,0.2333,0.1836,0.6523,0.1641,219
2002,Rocky Biddle,CHW,77.2,339,1.7353,0.1770,0.5221,0.3009,0.1176,0.1912,0.0508,0.2000,0.5281,0.2338,0.2381,0.1429,0.5758,0.2814,223
2002,Mark Buehrle,CHW,239.0,984,1.4730,0.2219,0.4634,0.3146,0.0913,0.1037,0.0197,0.2000,0.4580,0.3003,0.2417,0.1730,0.6196,0.2074,225
2002,Keith Foulke,CHW,77.2,306,1.0795,0.2009,0.4148,0.3843,0.1136,0.0795,0.0737,0.0000,0.4592,0.2876,0.2532,0.1330,0.6481,0.2189,231
2002,Jon Garland,CHW,192.2,827,1.1563,0.2121,0.4225,0.3654,0.1607,0.1027,0.0347,0.6000,0.4286,0.2777,0.2937,0.1417,0.6538,0.2045,232
2002,Gary Glover,CHW,138.1,604,0.8719,0.1793,0.3823,0.4384,0.1675,0.1034,0.0621,0.0833,0.3916,0.2842,0.3242,0.1537,0.6316,0.2147,234
2002,Bob Howry,2 Tms,68.2,292,0.7059,0.1831,0.3380,0.4789,0.1667,0.0882,0.0556,0.2857,0.4591,0.2636,0.2773,0.1727,0.5864,0.2409,237
2002,Damaso Marte,CHW,60.1,240,1.2708,0.2378,0.4266,0.3357,0.0625,0.1042,0.0656,0.3333,0.4384,0.2671,0.2945,0.1986,0.6164,0.1849,247
2002,Antonio Osuna,CHW,67.2,296,0.9494,0.1937,0.3927,0.4136,0.2025,0.0127,0.0533,0.1429,0.3737,0.2879,0.3384,0.1616,0.5657,0.2727,249
2002,Todd Ritchie,CHW,133.2,623,1.1353,0.2358,0.4063,0.3579,0.1118,0.1059,0.0570,0.3571,0.4356,0.2658,0.2986,0.1697,0.5930,0.2372,253
2002,Dan Wright,CHW,196.1,855,1.1491,0.2135,0.4205,0.3660,0.0833,0.1404,0.0496,0.4737,0.4673,0.2928,0.2399,0.1268,0.6275,0.2457,258
2002,Antonio Alfonseca,CHC,74.1,330,2.1017,0.1867,0.5511,0.2622,0.1017,0.0847,0.0726,0.0000,0.5043,0.2652,0.2304,0.1747,0.5895,0.2358,260
2002,Jason Bere,CHC,85.2,379,1.0278,0.2065,0.4022,0.3913,0.1019,0.1204,0.0360,0.4286,0.4134,0.2721,0.3145,0.1809,0.5567,0.2624,266
2002,Joe Borowski,CHC,95.2,391,1.0200,0.2078,0.4000,0.3922,0.1500,0.1000,0.0392,0.3750,0.4068,0.2433,0.3498,0.1635,0.6692,0.1673,267
2002,Matt Clement,CHC,205.0,858,1.6481,0.1936,0.5019,0.3045,0.1667,0.1111,0.0487,0.2000,0.4221,0.3098,0.2681,0.1978,0.6116,0.1906,271
2002,Juan Cruz,CHC,97.1,431,1.1515,0.2140,0.4207,0.3653,0.1414,0.1111,0.0702,0.2500,0.3958,0.2968,0.3074,0.2014,0.6078,0.1908,273
2002,Jeff Fassero,2 Tms,69.0,315,2.3878,0.2523,0.5270,0.2207,0.0816,0.1837,0.0427,0.0000,0.4454,0.2838,0.2707,0.1310,0.6245,0.2445,279
