Symbol,Name,Exchange,Last,Industry,Sector,SIC Description
A,Agilent Technologies,NYSE,96.91,Electronic Test Equipment,Computers and Technology,N/A
AA,Alcoa Corp,NYSE,11.64,Metal Products - Distribution,Basic Materials,SIC-3334 Primary Production of Aluminium
AACG,Ata Creativity Global,NASDAQ,1.08,Schools,Consumer Discretionary,SIC-8200 Services-Educational Services
AAL,American Airlines Gp,NASDAQ,11.93,Transportation - Airline,Transportation,N/A
AAME,Atlantic Amer Cp,NASDAQ,1.98,Insurance - Accident & Health,Finance,SIC-6311 Life Insurance
AAN,Aaron's Inc,NYSE,56.21,Retail - Consumer Electronics,Retail-Wholesale,"SIC-7359 Services-Equipment Rental & Leasing, NEC"
AAOI,Applied Optoelect,NASDAQ,10.46,Electronics - Semiconductors,Computers and Technology,SIC-3674 Semiconductors & Related Devices
AAON,Aaon Inc,NASDAQ,56.28,Building Prdcts - Air Heating,Construction,SIC-3585 Air-Cond & Warm Air Heatg Equip & Comm & Ind
AAP,Advance Auto Parts Inc,NYSE,146.45,Retail - Wholesale Auto Parts,Retail-Wholesale,SIC-5531 Retail-Auto & Home Supply Stores
AAPL,Apple Inc,NASDAQ,107.12,Computer - Mini,Computers and Technology,N/A
AAT,American Assets Trust,NYSE,23.03,REIT - Equity Trust Retail,Finance,SIC-6798 Real Estate Investment Trusts
AAU,Almaden Minerals,NYSE Arca,0.84,Mining - Gold,Basic Materials,N/A
AAWW,Atlas Air Ww,NASDAQ,60.61,Transportation - Air Freight,Transportation,"SIC-4522 Air Transportation, Nonscheduled"
AAXN,Axon Inc,NASDAQ,86.71,Protection - Safety,Industrial Products,"SIC-3480 Ordnance & Accessories, (No Vehicles/Guided"
ABB,Abb Ltd,NYSE,24.8,Machinery - Electrical,Industrial Products,SIC-3613 Switchgear & Switchboard Apparatus
ABBV,Abbvie Inc,NYSE,87.14,Large Cap Pharma,Medical,N/A
ABC,Amerisourcebergen Corp,NYSE,94.14,Medical - Dental Suppliers,Medical,"SIC-5122 Wholesale-Drugs, Proprietaries & Druggists"
ABCB,Ameris Bancorp,NASDAQ,21.18,Banks - Southeast,Finance,SIC-6022 State Commercial Banks
ABEO,Abeona Therapeutics,NASDAQ,1.83,Medical - Biomedical,Medical,SIC-2834 Pharmaceutical Preparations
ABEV,Ambev S.A.,NYSE,2.24,Beverages - Alcohol,Consumer Staples,SIC-2080 Beverages
ABG,Asbury Automotive Group Inc,NYSE,95.93,Retail - Wsale Auto & Trucks,Retail-Wholesale,SIC-5500 Retail-Auto Dealers & Gasoline Stations
ABIO,Arca Biopharma Inc,NASDAQ,4.18,Medical - Biomedical,Medical,SIC-2835 In Vitro & In Vivo Diagnostic Substances
ABM,ABM Industries Inc,NYSE,36.18,Building - Maint & Service,Construction,SIC-7340 Services-To Dwellings & Other Buildings
ABMD,Abiomed Inc,NASDAQ,260.11,Medical Instruments,Medical,SIC-3841 Surgical & Medical Instruments & Apparatus
ABR,Arbor Realty Trust,NYSE,11.06,REIT - Equity Trust Other,Finance,SIC-6798 Real Estate Investment Trusts
ABT,Abbott Laboratories,NYSE,102.73,Medical Products,Medical,N/A
ABTX,Allegiance Banc CS,NASDAQ,21.7,Banks - Southeast,Finance,SIC-6022 State Commercial Banks
ABUS,Arbutus Biopharma Cp,NASDAQ,2.94,Medical - Biomedical,Medical,SIC-2834 Pharmaceutical Preparations
ACA,Arcosa Inc,NYSE,42.99,Building & Construction - Misc,Construction,SIC-3440 Fabricated Structural Metal Products
ACAD,Acadia Pharmaceutica,NASDAQ,40.45,Medical - Biomedical,Medical,SIC-2834 Pharmaceutical Preparations
ACB,Aurora Cannabis Inc,NYSE,5.17,Medical Products,Medical,SIC-2833 Medicinal Chemicals & Botanical Products
ACBI,Atlantic Capital,NASDAQ,10.57,Banks - Northeast,Finance,SIC-6022 State Commercial Banks
ACC,American Campus Communities Inc,NYSE,33.07,REIT - Equity Trust Resident,Finance,SIC-6798 Real Estate Investment Trusts
ACCD,Accolade Inc,NASDAQ,30.34,Technology Services,Business Services,N/A
ACCO,Acco Brands Corp,NYSE,5.68,Office Supply & Forms,Industrial Products,"SIC-2780 Blankbooks, Looseleaf Binders & Bookbindg &"
ACEL,Accel Entertainment Inc,NYSE,10.58,Gaming,Consumer Discretionary,SIC-7900 Services-Amusement & Recreation Services
ACER,Acer Therapeutics Inc,NASDAQ,2.46,Medical - Drugs,Medical,SIC-2834 Pharmaceutical Preparations
ACET,Adicet Bio Inc,NASDAQ,11.27,Medical - Biomedical,Medical,SIC-2834 Pharmaceutical Preparations
ACGL,Arch Capital Grp Ltd,NASDAQ,27.93,Insurance - Proprty & Casualty,Finance,"SIC-6331 Fire, Marine & Casualty Insurance"
ACH,Aluminum Corp of China Ltd,NYSE,5.31,Mining - Non Ferrous,Basic Materials,SIC-3334 Primary Production of Aluminium
ACHC,Acadia Healthcr Company,NASDAQ,27.56,Medical - Hospitals,Medical,"SIC-8093 Services-Specialty Outpatient Facilities, NE"
ACHV,Achieve Life Sciences Inc,NASDAQ,8.93,Medical - Drugs,Medical,SIC-2835 In Vitro & In Vivo Diagnostic Substances
ACI,Albertsons Companies Inc Cl A,NYSE,13.62,Consumer Prdts - Misc Staple,Consumer Staples,N/A
ACIA,Acacia Communica,NASDAQ,68.1,Communications Components,Computers and Technology,SIC-3674 Semiconductors & Related Devices
ACIU,AC Immune S.A.,NASDAQ,4.8,Medical - Biomedical,Medical,SIC-2834 Pharmaceutical Preparations
ACIW,Aci Worldwide Inc,NASDAQ,24.73,Computer - Software,Computers and Technology,SIC-7372 Services-Prepackaged Software
ACLS,Axcelis Tech Inc,NASDAQ,21.72,Electrical - Manufacturing,Computers and Technology,"SIC-3559 Special Industry Machinery, NEC"
ACM,Aecom Technology Corp,NYSE,38.76,Engineering & R&D Services,Industrial Products,SIC-8711 Services-Engineering Services
ACMR,Acm Research Inc,NASDAQ,67.85,Electronics - Semiconductors,Computers and Technology,"SIC-3559 Special Industry Machinery, NEC"
ACN,Accenture Plc,NYSE,230.65,Consulting,Business Services,N/A
ACNB,Acnb Corp,NASDAQ,19.35,Banks - Southwest,Finance,SIC-6022 State Commercial Banks
ACOR,Acorda Therapeutics,NASDAQ,0.49,Medical - Biomedical,Medical,N/A
ACRE,Ares Commercial Real Estate Cor,NYSE,9.25,REIT - Mortgage Trusts,Finance,SIC-6798 Real Estate Investment Trusts
ACRS,Aclaris Therapts,NASDAQ,2.36,Medical - Drugs,Medical,SIC-2834 Pharmaceutical Preparations
ACRX,Acelrx Pharmaceutica,NASDAQ,1.53,Medical - Drugs,Medical,SIC-2834 Pharmaceutical Preparations
ACST,Acasti Pharma,NASDAQ,0.21,Medical - Generic Drugs,Medical,N/A
ACTG,Acacia Res-Acacia,NASDAQ,3.48,Business Services,Business Services,SIC-6794 Patent Owners & Lessors
ACU,Acme United Corp,NYSE Arca,22.01,Consumer Prdts - Misc Discr,Consumer Discretionary,"SIC-3420 Cutlery, Handtools & General Hardware"
ACY,Aerocentury Corp,NYSE Arca,1.9,Finance - Leasing Companies,Finance,"SIC-7359 Services-Equipment Rental & Leasing, NEC"
ADAP,Adaptimmune Ther Ads,NASDAQ,7.95,Medical - Biomedical,Medical,"SIC-2836 Biological Products, (No Disgnostic Substanc"
ADBE,Adobe Systems Inc,NASDAQ,470.39,Computer - Software,Computers and Technology,N/A
ADC,Agree Realty Corp,NYSE,62.3,REIT - Equity Trust Retail,Finance,SIC-6798 Real Estate Investment Trusts
ADCT,Adc Therapeutics Sa,NYSE,34.16,Medical - Biomedical,Medical,N/A
ADES,Advanced Emissions Solutions Inc,NASDAQ,4.01,Pollution Controls,Industrial Products,SIC-2890 Miscellaneous Chemical Products
ADI,Analog Devices,NASDAQ,112.5,Semi Analog & Mixed,Computers and Technology,SIC-3674 Semiconductors & Related Devices
ADIL,Adial Pharmaceuticals Inc,NASDAQ,1.29,Medical - Biomedical,Medical,SIC-2834 Pharmaceutical Preparations
ADM,Archer Daniels Midland,NYSE,45.16,Agriculture Operations,Consumer Staples,N/A
ADMA,Adma Biologics,NASDAQ,2.12,Medical - Biomedical,Medical,"SIC-2836 Biological Products, (No Disgnostic Substanc"
ADMP,Adamis Pharmaceuticl,NASDAQ,0.74,Medical - Drugs,Medical,N/A
ADMS,Adamas Pharma,NASDAQ,4.75,Medical - Generic Drugs,Medical,SIC-2834 Pharmaceutical Preparations
ADNT,Adient Plc,NYSE,16.65,Auto - Truck Original Parts,Auto-Tires-Trucks,SIC-3714 Motor Vehicle Parts & Accessories
ADP,Automatic Data Procs,NASDAQ,128.72,Outsourcing,Business Services,N/A
ADPT,Adaptive Biotechnologies Corp,NASDAQ,48.21,Medical - Biomedical,Medical,"SIC-2836 Biological Products, (No Disgnostic Substanc"
ADRO,Aduro Biotech,NASDAQ,2.33,Medical - Biomedical,Medical,SIC-2834 Pharmaceutical Preparations
ADS,Alliance Data Systems Corp,NYSE,41.97,Financial Transaction Services,Business Services,"SIC-7389 Services-Business Services, NEC"
ADSK,Autodesk Inc,NASDAQ,221.87,Computer - Software,Computers and Technology,N/A
ADSW,Advanced Disposal Services Inc,NYSE,30.19,Waste Removal Svcs,Business Services,SIC-4953 Refuse Systems
ADT,ADT Inc,NYSE,8.18,Protection - Safety,Industrial Products,"SIC-7381 Services-Detective, Guard & Armored Car Serv"
ADTN,Adtran Inc,NASDAQ,9.88,Communications Infrastructure,Computers and Technology,SIC-3661 Telephone & Telegraph Apparatus
ADUS,Addus Homecare Corp,NASDAQ,91.58,Medical - Outpatient & Hm Care,Medical,SIC-8082 Services-Home Health Care Services
ADVM,Adverum Biotechnlgs,NASDAQ,11.27,Medical - Biomedical,Medical,"SIC-2836 Biological Products, (No Disgnostic Substanc"
ADXN,Addex Therapeutics Ltd ADR,NASDAQ,11.55,Medical - Drugs,Medical,N/A
ADXS,Advaxis Inc,NASDAQ,0.39,Medical - Biomedical,Medical,N/A
AE,Adams Resources & Energy,NYSE Arca,20.13,Oil - Refining and Marketing,Oils-Energy,SIC-5172 Wholesale-Petroleum & Petroleum Products (No
AEE,Ameren Corp,NYSE,75.61,Utility - Electric Power,Utilities,SIC-4931 Electric & Other Services Combined
AEG,Aegon N.V.,NYSE,2.32,Insurance - Multi Line,Finance,SIC-6311 Life Insurance
AEGN,Aegion Corp,NASDAQ,13.71,Building & Construction - Misc,Construction,"SIC-1623 Water, Sewer, Pipeline, Comm & Power Line Co"
AEHR,Aehr Test Systems,NASDAQ,1.44,Electronics - Measuring Inst,Computers and Technology,SIC-3825 Instruments For Meas & Testing of Electricit
AEIS,Advanced Energy,NASDAQ,57.9,Semi-Eqpt Wafer Fabrication,Computers and Technology,"SIC-3679 Electronic Components, NEC"
AEL,American Equity Investment Life,NYSE,19.56,Insurance - Life,Finance,SIC-6311 Life Insurance
AEM,Agnico-Eagle Mines Ltd,NYSE,74.71,Mining - Gold,Basic Materials,SIC-1040 Gold and Silver Ores
AEMD,Aethlon Medical,NASDAQ,1.31,Medical - HMO,Medical,SIC-3841 Surgical & Medical Instruments & Apparatus
AEO,American Eagle Outfitters,NYSE,14.14,Retail - Apparel & Shoes,Retail-Wholesale,SIC-5651 Retail-Family Clothing Stores
AEP,American Electric Power Company,NYSE,79.18,Utility - Electric Power,Utilities,N/A
AER,Aercap Holdings N.V.,NYSE,23.03,Finance - Leasing Companies,Finance,"SIC-7359 Services-Equipment Rental & Leasing, NEC"
AERI,Aerie Pharmaceuticals,NASDAQ,11.63,Medical - Drugs,Medical,"SIC-2836 Biological Products, (No Disgnostic Substanc"
AES,The Aes Corp,NYSE,17.76,Utility - Electric Power,Utilities,N/A
AESE,Allied Esports Entertainment Inc,NASDAQ,1.36,Leisure & Recreation Services,Consumer Discretionary,SIC-7900 Services-Amusement & Recreation Services
AEY,Addvantage Techs Group,NASDAQ,1.87,Electronics Products - Misc,Computers and Technology,SIC-5000 Wholesale-Durable Goods
AEYE,Audioeye Inc,NASDAQ,16.23,Internet - Software,Computers and Technology,SIC-7372 Services-Prepackaged Software
AEZS,Aeterna Zentaris,NASDAQ,0.35,Medical - Biomedical,Medical,N/A
AFG,American Financial Group,NYSE,63.72,Insurance - Proprty & Casualty,Finance,"SIC-6331 Fire, Marine & Casualty Insurance"
AFI,Armstrong Flooring Inc,NYSE,3.75,Building Products - Wood,Construction,"SIC-3089 Plastics Products, NEC"
AFIB,Acutus Medical Inc,NASDAQ,28.65,Medical - Drugs,Medical,N/A
AFIN,American Finance Trust Inc Cl A,NASDAQ,5.93,REIT - Equity Trust Other,Finance,SIC-6798 Real Estate Investment Trusts
AFL,Aflac Inc,NYSE,35.62,Insurance - Accident & Health,Finance,N/A
AFMD,Affimed N.V.,NASDAQ,3.31,Medical - Biomedical,Medical,SIC-2834 Pharmaceutical Preparations
AFYA,Afya Ltd Cl A,NASDAQ,24.96,Schools,Consumer Discretionary,SIC-8200 Services-Educational Services
AG,First Majestic Silver,NYSE,9.74,Mining - Silver,Basic Materials,SIC-1040 Gold and Silver Ores
AGCO,Agco Corp,NYSE,70.59,Machinery - Farm,Industrial Products,SIC-3523 Farm Machinery & Equipment
AGE,Agex Therapeutics Inc,NYSE Arca,0.88,Medical - Drugs,Medical,N/A
AGEN,Agenus Inc,NASDAQ,4.29,Medical - Biomedical,Medical,"SIC-2836 Biological Products, (No Disgnostic Substanc"
AGFS,Agrofresh Solutions,NASDAQ,2.52,Chemical - Specialty,Basic Materials,SIC-6770 Blank Checks
AGI,Alamos Gold Inc,NYSE,8.6,Mining - Gold,Basic Materials,SIC-1040 Gold and Silver Ores
AGIO,Agios Pharmaceuticals,NASDAQ,35.34,Medical Products,Medical,SIC-2834 Pharmaceutical Preparations
AGLE,Aeglea Biothera,NASDAQ,6.88,Medical - Biomedical,Medical,SIC-2834 Pharmaceutical Preparations
AGM,Federal Agricultural Mortgage Corp,NYSE,62.29,Finance - Mortgage & Rel Svs,Finance,SIC-6111 Federal & Federally-Sponsored Credit Agencie
AGMH,Agm Group Holdings Inc Cl A,NASDAQ,15.16,Finance - Misc Services,Finance,SIC-7371 Services-Computer Programming Services
AGNC,American Capital Age,NASDAQ,13.98,REIT - Mortgage Trusts,Finance,SIC-6798 Real Estate Investment Trusts
AGO,Assured Guaranty Ltd,NYSE,19.2,Insurance - Multi Line,Finance,SIC-6351 Surety Insurance
AGR,Avangrid Inc,NYSE,48.95,Utility - Electric Power,Utilities,SIC-4911 Electric Services
AGRO,Adecoagro S.A.,NYSE,4.7,Agriculture Operations,Consumer Staples,SIC-0100 Agricultural Production - Crops
AGRX,Agile Therap,NASDAQ,2.86,Medical - Generic Drugs,Medical,SIC-2834 Pharmaceutical Preparations
AGS,Playags Inc,NYSE,3.52,Gaming,Consumer Discretionary,SIC-3990 Miscellaneous Manufacturing Industries
AGTC,Applied Genetic Tech,NASDAQ,4.88,Medical - Biomedical,Medical,"SIC-2836 Biological Products, (No Disgnostic Substanc"
AGX,Argan Inc,NYSE,42.52,Building & Construction - Misc,Construction,SIC-1700 Construction - Special Trade Contractors
AGYS,Agilysys Inc,NASDAQ,23.85,Computer - Integrated Systems,Computers and Technology,SIC-7373 Services-Computer Integrated Systems Design
AHC,A.H. Belo Corp,NYSE,1.37,Publishing - Newspapers,Consumer Staples,SIC-2711 Newspapers: Publishing or Publishing & Print
AHCO,Adapthealth Corp Cl. A,NASDAQ,20,Medical Products,Medical,SIC-8082 Services-Home Health Care Services
AHH,Armada Hoffler Properties Inc,NYSE,8.75,REIT - Equity Trust Resident,Finance,SIC-6500 Real Estate
AHPI,Allied Healthcare,NASDAQ,5.72,Medical Instruments,Medical,"SIC-3842 Orthopedic, Prosthetic & Surgical Appliances"
AHT,Ashford Hospitality Trust Inc,NYSE,1.48,REIT - Equity Trust Other,Finance,SIC-6798 Real Estate Investment Trusts
AI,Arlington Asset Investment Corp,NYSE,2.47,REIT - Mortgage Trusts,Finance,SIC-6798 Real Estate Investment Trusts
AIG,American International Group,NYSE,26.43,Insurance - Multi Line,Finance,N/A
AIH,Aesthetic Medical International Holdings Group L,NASDAQ,4.45,Medical Services,Medical,"SIC-8093 Services-Specialty Outpatient Facilities, NE"
AIHS,Senmiao Technology Ltd,NASDAQ,0.45,Internet - Services,Computers and Technology,N/A
AIKI,Alkido Pharma Inc,NASDAQ,0.55,Medical - Biomedical,Medical,N/A
AIM,Aim Immunotech Inc,NYSE Arca,2.27,Medical - Drugs,Medical,"SIC-2836 Biological Products, (No Disgnostic Substanc"
AIMC,Altra Indtl Mtn,NASDAQ,37.53,Machinery - General Industrial,Industrial Products,"SIC-3569 General Industrial Machinery & Equipment, NE"
AIMT,Aimmune Therap,NASDAQ,34.28,Medical - Biomedical,Medical,SIC-2834 Pharmaceutical Preparations
AIN,Albany International Corp,NYSE,49.76,Textile - Products,Industrial Products,"SIC-2221 Broadwoven Fabric Mills, Man Made Fiber & Si"
AINV,Apollo Investment Company,NASDAQ,8.27,Finance - SBIC & Commercial,Finance,"SIC-6726 Unit Investment Trusts, Face-Amount"
AIR,AAR Corp,NYSE,17.48,Aerospace - Defense Equipment,Aerospace,SIC-3720 Aircraft & Parts
AIRG,Airgain Inc,NASDAQ,13.21,Communications Components,Computers and Technology,SIC-3663 Radio & Tv Broadcasting & Communications Equ
AIRI,Air Industries Group Inc,NYSE Arca,1.09,Aerospace - Defense,Aerospace,"SIC-3728 Aircraft Parts & Auxiliary Equipment, NEC"
AIRT,Air T Inc,NASDAQ,10,Transportation - Air Freight,Transportation,SIC-4513 Air Courier Services
AIT,Applied Industrial Technologies,NYSE,52.76,Machinery - General Industrial,Industrial Products,"SIC-5080 Wholesale-Machinery, Equipment & Supplies"
AIV,Apartment Investment and Management,NYSE,33.45,REIT - Equity Trust Resident,Finance,N/A
AIZ,Assurant Inc,NYSE,118.73,Insurance - Multi Line,Finance,N/A
AJG,Arthur J. Gallagher & Company,NYSE,102.36,Insurance - Brokers,Finance,"SIC-6411 Insurance Agents, Brokers & Service"
AJRD,Aerojet Rocketdyne Holdings,NYSE,40.74,Aerospace - Defense Equipment,Aerospace,SIC-3760 Guided Missiles & Space Vehicles & Parts
AJX,Great Ajax Corp,NYSE,8.95,REIT - Mortgage Trusts,Finance,SIC-6798 Real Estate Investment Trusts
AKAM,Akamai Technologies,NASDAQ,110.08,Internet - Services,Computers and Technology,N/A
AKBA,Akebia Therapeutics,NASDAQ,2.54,Medical - Drugs,Medical,SIC-2834 Pharmaceutical Preparations
AKCA,Akcea Therapeutics Inc,NASDAQ,18.14,Medical - Biomedical,Medical,SIC-2834 Pharmaceutical Preparations
AKER,Akers Biosciences,NASDAQ,2.25,Medical Products,Medical,SIC-2835 In Vitro & In Vivo Diagnostic Substances
AKO.A,Embotell Andina Sa Cl A,NYSE,11.37,Beverages - Soft,Consumer Staples,SIC-2086 Bottled & Canned Soft Drinks & Carbonated Wa
AKO.B,Embotell Andna Sa Cl B,NYSE,12.53,Beverages - Soft,Consumer Staples,SIC-2086 Bottled & Canned Soft Drinks & Carbonated Wa
AKR,Acadia Realty Trust,NYSE,10.08,REIT - Equity Trust Retail,Finance,SIC-6798 Real Estate Investment Trusts
AKRO,Akero Therapeutics Inc,NASDAQ,31.95,Medical - Biomedical,Medical,SIC-2834 Pharmaceutical Preparations
AKTS,Akoustis Technologies Inc,NASDAQ,8.01,Semi Radio Frequency,Computers and Technology,SIC-3661 Telephone & Telegraph Apparatus
AKTX,Akari Therapeutics,NASDAQ,1.67,Medical - Biomedical,Medical,SIC-2834 Pharmaceutical Preparations
AKUS,Akouos Inc,NASDAQ,23.65,Medical - Biomedical,Medical,N/A
AL,Air Lease Corp Cl A,NYSE,28.09,Transportation - Equip & Lease,Transportation,"SIC-7359 Services-Equipment Rental & Leasing, NEC"
ALB,Albemarle Corp,NYSE,80.42,Chemical - Diversified,Basic Materials,"SIC-2821 Plastic Materials, Synth Resins & Nonvulcan"
ALBO,Albireo Pharma Inc,NASDAQ,35.16,Medical - Biomedical,Medical,SIC-2834 Pharmaceutical Preparations
ALC,Alcon Inc,NYSE,56.55,Medical Instruments,Medical,SIC-3851 Ophthalmic Goods
ALCO,Alico Inc,NASDAQ,27.7,Agriculture Operations,Consumer Staples,SIC-0100 Agricultural Production - Crops
ALDX,Aldeyra Therapeu,NASDAQ,6.78,Medical - Drugs,Medical,SIC-2834 Pharmaceutical Preparations
ALE,Allete Inc,NYSE,50.93,Utility - Electric Power,Utilities,SIC-4931 Electric & Other Services Combined
ALEC,Alector Inc,NASDAQ,11.22,Medical - Biomedical,Medical,"SIC-2836 Biological Products, (No Disgnostic Substanc"
ALEX,Alexander and Baldwin Inc,NYSE,10.33,REIT - Equity Trust Other,Finance,SIC-6798 Real Estate Investment Trusts
ALG,Alamo Group,NYSE,101.05,Machinery - Farm,Industrial Products,SIC-3523 Farm Machinery & Equipment
ALGN,Align Technology,NASDAQ,308.32,Medical - Dental Suppliers,Medical,"SIC-3842 Orthopedic, Prosthetic & Surgical Appliances"
ALGT,Allegiant Travel Com,NASDAQ,125.48,Transportation - Airline,Transportation,"SIC-4512 Air Transportation, Scheduled"
ALIM,Alimera Sciences Inc,NASDAQ,5.02,Medical - Biomedical,Medical,SIC-2834 Pharmaceutical Preparations
ALJJ,Alj Regional Hold,NASDAQ,0.78,Steel - Producers,Basic Materials,N/A
ALK,Alaska Air Group,NYSE,36.86,Transportation - Airline,Transportation,N/A
ALKS,Alkermes Plc,NASDAQ,16.83,Medical - Biomedical,Medical,SIC-2834 Pharmaceutical Preparations
ALL,Allstate Corp,NYSE,89.62,Insurance - Proprty & Casualty,Finance,N/A
ALLE,Allegion Plc,NYSE,95.37,Protection - Safety,Industrial Products,N/A
ALLK,Allakos Inc,NASDAQ,78.51,Medical - Biomedical,Medical,SIC-2834 Pharmaceutical Preparations
ALLO,Allogene Therapeutics Inc,NASDAQ,35.22,Medical - Biomedical,Medical,"SIC-2836 Biological Products, (No Disgnostic Substanc"
ALLT,Allot Communications,NASDAQ,8.76,Computer - Networks,Computers and Technology,SIC-3576 Computer Communications Equipment
ALLY,Ally Financial,NYSE,23.4,Finance - Consumer Loans,Finance,SIC-6022 State Commercial Banks
ALNA,Allena Pharmaceuticals Inc,NASDAQ,1.21,Medical - Biomedical,Medical,"SIC-2836 Biological Products, (No Disgnostic Substanc"
ALNY,Alnylam Pharmaceuticals,NASDAQ,134.5,Medical - Biomedical,Medical,SIC-2834 Pharmaceutical Preparations
ALOT,Astronova Inc,NASDAQ,7.57,Technology Services,Business Services,"SIC-3577 Computer Peripheral Equipment, NEC"
ALPN,Alpine Immune Sciences Inc,NASDAQ,7.81,Medical - Drugs,Medical,SIC-2834 Pharmaceutical Preparations
ALRM,Alarm.com,NASDAQ,54.76,Protection - Safety,Industrial Products,SIC-7372 Services-Prepackaged Software
ALRN,Aileron Therapeutics Inc,NASDAQ,1.23,Medical - Biomedical,Medical,SIC-2834 Pharmaceutical Preparations
ALRS,Alerus Financial Corp,NASDAQ,17.94,Finance - Misc Services,Finance,SIC-6021 National Commercial Banks
ALSK,Alaska Commun Sys,NASDAQ,2.06,Wireline Regional,Utilities,SIC-4813 Telephone Communications (No Radiotelephone)
ALSN,Allison Transmission Holdings,NYSE,33.38,Auto - Truck Original Parts,Auto-Tires-Trucks,SIC-3714 Motor Vehicle Parts & Accessories
ALT,Altimmune Inc,NASDAQ,12.53,Medical - Drugs,Medical,SIC-2834 Pharmaceutical Preparations
ALTA,Altabancorp,NASDAQ,19.14,Banks - West,Finance,SIC-6022 State Commercial Banks
ALTG,Alta Equipment Group Inc,NYSE,7.35,Machinery - General Industrial,Industrial Products,SIC-5084 Wholesale-Industrial Machinery & Equipment
ALTM,Altus Midstream Company,NASDAQ,11.25,Oil - Production & Pipeline,Oils-Energy,SIC-4922 Natural Gas Transmission
ALTR,Altair Engineering Inc Cl A,NASDAQ,40.11,Engineering & R&D Services,Industrial Products,SIC-7372 Services-Prepackaged Software
ALV,Autoliv Inc,NYSE,70.13,Auto - Truck Original Parts,Auto-Tires-Trucks,SIC-3714 Motor Vehicle Parts & Accessories
ALVR,Allovir Inc,NASDAQ,24.95,Medical - Drugs,Medical,N/A
ALX,Alexander's Inc,NYSE,242.44,REIT - Equity Trust Other,Finance,SIC-6798 Real Estate Investment Trusts
ALXN,Alexion Pharm Inc,NASDAQ,112.43,Medical - Biomedical,Medical,SIC-2834 Pharmaceutical Preparations
ALXO,Alx Oncology Holdings Inc,NASDAQ,39.29,Medical - Biomedical,Medical,N/A
ALYA,Alithya Group Inc Cl A,NASDAQ,2.08,Technology Services,Business Services,"SIC-7370 Services-Computer Programming, Data Processi"
AM,Antero Midstream Corp,NYSE,5.2,Oil - US Integrated,Oils-Energy,SIC-4922 Natural Gas Transmission
AMAG,Amag Pharmaceuticals,NASDAQ,8.88,Medical - Biomedical,Medical,SIC-2834 Pharmaceutical Preparations
AMAL,Amalgamated Bk,NASDAQ,10.62,Banks - Northeast,Finance,N/A
AMAT,Applied Materials,NASDAQ,57.25,Semi-Eqpt Wafer Fabrication,Computers and Technology,SIC-3674 Semiconductors & Related Devices
AMBA,Ambarella Inc,NASDAQ,48.99,Electronics - Semiconductors,Computers and Technology,SIC-3674 Semiconductors & Related Devices
AMBC,Ambac Financial Group,NYSE,12.11,Insurance - Proprty & Casualty,Finance,SIC-6351 Surety Insurance
AMBO,Ambow Education Holding Ltd,NYSE Arca,1.69,Schools,Consumer Discretionary,SIC-8200 Services-Educational Services
AMC,Amc Entertainment Holdings Inc,NYSE,4.78,Leisure & Recreation Services,Consumer Discretionary,SIC-7830 Services-Motion Picture Theaters
AMCR,Amcor Plc,NYSE,10.58,Containers - Paper Products,Industrial Products,SIC-3990 Miscellaneous Manufacturing Industries
AMCX,Amc Networks Cl A,NASDAQ,23.8,Broadcast - Radio & TV,Consumer Discretionary,SIC-4841 Cable & Other Pay Television Services
AMD,Adv Micro Devices,NASDAQ,74.73,Electronics - Semiconductors,Computers and Technology,N/A
AME,Amtek Inc,NYSE,95.32,Electronic Test Equipment,Computers and Technology,N/A
AMED,Amedisys Inc,NASDAQ,224.06,Medical - Outpatient & Hm Care,Medical,SIC-8082 Services-Home Health Care Services
AMEH,Apollo Medical Holdings Inc,NASDAQ,16.33,Medical Services,Medical,SIC-8742 Services-Management Consulting Services
AMGN,Amgen Inc,NASDAQ,242.59,Medical - Biomedical,Medical,N/A
AMH,American Homes 4 Rent,NYSE,27.07,REIT - Equity Trust Resident,Finance,SIC-6798 Real Estate Investment Trusts
AMKR,Amkor Technology,NASDAQ,10.91,Electronics - Semiconductors,Computers and Technology,SIC-3674 Semiconductors & Related Devices
AMN,Amn Healthcare Services Inc,NYSE,53.03,Medical Services,Medical,SIC-7363 Services-Help Supply Services
AMNB,American Natl Bksh,NASDAQ,19.63,Banks - Southeast,Finance,SIC-6021 National Commercial Banks
AMOT,Allied Motion Tech,NASDAQ,38.3,Industrial Controls,Computers and Technology,SIC-3825 Instruments For Meas & Testing of Electricit
AMPE,Ampio Pharmaceuticals,NYSE Arca,0.85,Medical - Drugs,Medical,N/A
AMPH,Amphastar Pharma,NASDAQ,18.18,Medical - Generic Drugs,Medical,SIC-2834 Pharmaceutical Preparations
AMPY,Amplify Energy Corp,NYSE,0.75,Oil - US Exploration & Product,Oils-Energy,N/A
AMRB,American River Bkshs,NASDAQ,9.25,Banks - West,Finance,SIC-6022 State Commercial Banks
AMRC,Ameresco Inc,NYSE,30.13,Other Alt Energy,Oils-Energy,SIC-1700 Construction - Special Trade Contractors
AMRH,Ameri Holdings Inc,NASDAQ,1.1,Technology Services,Business Services,SIC-3674 Semiconductors & Related Devices
AMRK,A-Mark Precious Meta,NASDAQ,30.37,Precious Metals & Jewelry,Consumer Discretionary,"SIC-5094 Wholesale-Jewelry, Watches, Precious Stones"
