Symbol,Name,Exchange,Last,Industry,Sector,SIC Description
MOD,Modine Manufacturing Company,NYSE,5.78,Auto - Truck Original Parts,Auto-Tires-Trucks,SIC-3714 Motor Vehicle Parts & Accessories
MODN,Model N Inc,NYSE,34.82,Internet - Software,Computers and Technology,"SIC-7370 Services-Computer Programming, Data Processi"
MOFG,Midwestone Fnl Gp,NASDAQ,16.8,Banks - Midwest,Finance,SIC-6022 State Commercial Banks
MOG.A,Moog Inc Cl A,NYSE,60.84,Aerospace - Defense Equipment,Aerospace,SIC-3590 Misc Industrial & Commercial Machinery & Equ
MOG.B,Moog Inc Cl B,NYSE,65.29,Aerospace - Defense Equipment,Aerospace,SIC-3590 Misc Industrial & Commercial Machinery & Equ
MOGO,Mogo Inc,NASDAQ,1.51,Technology Services,Business Services,SIC-6199 Finance Services
MOGU,Mogu Inc ADR,NYSE,2.33,Retail - Apparel & Shoes,Retail-Wholesale,"SIC-7389 Services-Business Services, NEC"
MOH,Molina Healthcare Inc,NYSE,153.07,Medical - HMO,Medical,SIC-6324 Hospital & Medical Service Plans
MOHO,Ecmoho Ltd ADR,NASDAQ,1.44,Medical Information Systems,Medical,SIC-5961 Retail-Catalog & Mail-Order Houses
MOMO,Momo Inc Ads,NASDAQ,14.02,Internet Software Services,Computers and Technology,SIC-7372 Services-Prepackaged Software
MOR,Morphosys Ag ADR,NASDAQ,31.65,Medical - Biomedical,Medical,SIC-2834 Pharmaceutical Preparations
MORF,Morphic Holding Inc,NASDAQ,24.95,Medical - Biomedical,Medical,SIC-2834 Pharmaceutical Preparations
MORN,Morningstar Inc,NASDAQ,153.58,Business Information,Business Services,SIC-6282 Investment Advice
MOS,Mosaic Company,NYSE,18.26,Fertilizers,Basic Materials,N/A
MOSY,Mosys Inc,NASDAQ,1.52,Electronics - Semiconductors,Computers and Technology,SIC-3674 Semiconductors & Related Devices
MOTS,Motus Gi Holdings Inc,NASDAQ,1,Medical Information Systems,Medical,N/A
MOV,Movado Group Inc,NYSE,10.64,Retail - Jewelry,Retail-Wholesale,"SIC-3873 Watches, Clocks, Clockwork Operated Devices/"
MOXC,Moxian Inc,NASDAQ,1.41,Internet - Services,Computers and Technology,"SIC-7370 Services-Computer Programming, Data Processi"
MPAA,Motorcar Parts Amer,NASDAQ,15.15,Auto - Truck Replacement Parts,Auto-Tires-Trucks,SIC-3714 Motor Vehicle Parts & Accessories
MPB,Mid Penn Bancorp Inc,NASDAQ,17.6,Banks - Northeast,Finance,SIC-6022 State Commercial Banks
MPC,Marathon Petroleum Corp,NYSE,28.73,Oil - Refining and Marketing,Oils-Energy,SIC-2911 Petroleum Refining
MPLX,Mplx LP,NYSE,15.89,Oil - Production & Pipeline,Oils-Energy,SIC-4610 Pipe Lines (No Natural Gas)
MPW,Medical Properties Trust,NYSE,16.25,REIT - Equity Trust Other,Finance,SIC-6798 Real Estate Investment Trusts
MPWR,Monolithic Power Sys,NASDAQ,252.06,Semi Analog & Mixed,Computers and Technology,SIC-3674 Semiconductors & Related Devices
MPX,Marine Products Corp,NYSE,15.78,Leisure & Recreational Prdcts,Consumer Discretionary,SIC-3730 Ship & Boat Building & Repairing
MR,Montage Resources Corp,NYSE,4.65,Oil - US Exploration & Product,Oils-Energy,SIC-1311 Crude Petroleum & Natural Gas
MRAM,Everspin Technologies Inc,NASDAQ,5.33,Technology Services,Business Services,SIC-3674 Semiconductors & Related Devices
MRBK,Meridian Bank,NASDAQ,14.22,Banks - Northeast,Finance,N/A
MRC,Mrc Global Inc,NYSE,5.05,Steel - Pipe & Tube,Basic Materials,SIC-5084 Wholesale-Industrial Machinery & Equipment
MRCY,Mercury Sys Inc,NASDAQ,76.99,Computers - Peripheral Equpt,Computers and Technology,SIC-3670 Electronic Components & Accessories
MREO,Mereo Biopharma Group Plc ADR,NASDAQ,2.77,Medical - Biomedical,Medical,SIC-2834 Pharmaceutical Preparations
MRIN,Marin Sotfware Inc,NASDAQ,1.3,Advertising Marketing Services,Business Services,SIC-7374 Services-Computer Processing & Data Preparat
MRK,Merck & Company,NYSE,82.63,Large Cap Pharma,Medical,N/A
MRKR,Marker Therapeutics Inc,NASDAQ,1.55,Medical - Drugs,Medical,SIC-2834 Pharmaceutical Preparations
MRLN,Marlin Business Serv,NASDAQ,6.91,Finance - SBIC & Commercial,Finance,SIC-6022 State Commercial Banks
MRNA,Moderna Inc,NASDAQ,67.16,Medical - Biomedical,Medical,"SIC-2836 Biological Products, (No Disgnostic Substanc"
MRNS,Marinus Pharma CS,NASDAQ,12.01,Medical - Drugs,Medical,SIC-2834 Pharmaceutical Preparations
MRO,Marathon Oil Corp,NYSE,4.21,Oil - US Integrated,Oils-Energy,N/A
MRSN,Mersana Therapeutics Inc,NASDAQ,18.98,Medical - Biomedical,Medical,SIC-2834 Pharmaceutical Preparations
MRTN,Marten Transport L,NASDAQ,15.81,Transportation - Truck,Transportation,SIC-4213 Trucking (No Local)
MRTX,Mirati Therapeutics,NASDAQ,159.49,Medical - Biomedical,Medical,SIC-2834 Pharmaceutical Preparations
MRUS,Merus N.V. CS,NASDAQ,11.82,Medical - Biomedical,Medical,SIC-2834 Pharmaceutical Preparations
MRVL,Marvell Tech Group,NASDAQ,37.57,Semi Communications,Computers and Technology,SIC-3674 Semiconductors & Related Devices
MS,Morgan Stanley,NYSE,46.42,Finance - Investment Brokers,Finance,N/A
MSA,Msa Safety Inc,NYSE,130.74,Protection - Safety,Industrial Products,"SIC-3842 Orthopedic, Prosthetic & Surgical Appliances"
MSB,Mesabi Trust,NYSE,20.54,Mining - Iron,Basic Materials,SIC-6795 Mineral Royalty Traders
MSBI,Midland Sts BNC,NASDAQ,12.62,Banks - Northeast,Finance,SIC-6022 State Commercial Banks
MSC,Studio City Intl Holdings Ltd ADR,NYSE,16.34,Leisure & Recreation Services,Consumer Discretionary,SIC-7011 Hotels & Motels
MSCI,MSCI Inc,NYSE,345.46,Business Software Services,Computers and Technology,N/A
MSEX,Middlesex Water Company,NASDAQ,59.64,Utility - Water Supply,Utilities,SIC-4941 Water Supply
MSFT,Microsoft Corp,NASDAQ,200.59,Computer - Software,Computers and Technology,N/A
MSGE,Madison Square Garden Entertainment Corp,NYSE,69.45,Leisure & Recreation Services,Consumer Discretionary,N/A
MSGN,Msg Networks Inc,NYSE,9.38,Movie & TV Production & Dist,Consumer Discretionary,SIC-4841 Cable & Other Pay Television Services
